nome_time,pontos,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols
Palmeiras,52,25,15,7,3,45,21,24
Flamengo,51,25,15,6,4,50,21,29
Athletico-PR,45,25,13,6,6,37,25,12
Fluminense,42,25,11,9,5,39,32,7
Bahia,40,25,10,10,5,37,30,7
Cruzeiro,39,25,11,6,8,35,36,-1
Coritiba,37,25,10,7,8,33,33,0
Atlético-MG,36,24,10,6,8,32,28,4
Red Bull Bragantino,35,24,10,5,9,29,25,4
Corinthians,32,25,8,8,9,26,25,1
São Paulo,30,24,8,6,10,29,28,1
Botafogo,30,24,8,6,10,37,40,-3
Vitória,29,25,8,5,12,24,37,-13
Santos,29,24,7,8,9,34,36,-2
Grêmio,28,24,7,7,10,27,32,-5
Mirassol,25,25,6,7,12,27,39,-12
Vasco,25,24,6,7,11,27,39,-12
Internacional,25,25,5,10,10,26,31,-5
Remo,23,25,5,8,12,30,42,-12
Chapecoense,14,24,2,8,14,25,49,-24
